x,y,sigma,"F[1](x)","F[2](x)","F[3](x)","F[4](x)","F[5](x)","F[6](x)","F[7](x)","F(x)","y-F(x)","abs(y-F(x))","(y-F(x))/s"
0.785,40.0106,30.3974,1.6308e-154,4.79118e-60,2.17245e-30,7.39383e-47,16.8424,1.27443,1.73043e-13,18.1168,21.8937,21.8937,0.720251
0.79,25.2855,29.7489,1.41579e-157,1.23103e-61,1.08456e-31,8.54487e-50,7.728,2.27729,8.62007e-13,10.0053,15.2802,15.2802,0.513638
0.795,10.4241,29.1033,1.14833e-160,3.02054e-63,5.11751e-33,8.10322e-53,3.37163,3.94542,4.14863e-12,7.31705,3.107,3.107,0.106758
0.8,30.094,29.0689,8.70166e-164,7.07762e-65,2.28224e-34,6.30561e-56,1.39869,6.62738,1.92902e-11,8.02607,22.0679,22.0679,0.759159
0.805,50.9629,29.0861,6.16038e-167,1.58372e-66,9.61972e-36,4.02637e-59,0.551715,10.7935,8.66577e-11,11.3452,39.6177,39.6177,1.36209
0.81,45.6986,28.688,4.07457e-170,3.38422e-68,3.83233e-37,2.10968e-62,0.206927,17.0434,3.7611e-10,17.2503,28.4483,28.4483,0.991646
0.815,93.9688,29.2575,2.51782e-173,6.90599e-70,1.44299e-38,9.07058e-66,0.0737956,26.0929,1.57711e-09,26.1667,67.8021,67.8021,2.31743
0.82,42.441,28.1425,1.45357e-176,1.34581e-71,5.13523e-40,3.20015e-69,0.0250238,38.7313,6.38917e-09,38.7563,3.6847,3.6847,0.13093
0.825,104.882,29.0689,7.84006e-180,2.50453e-73,1.72726e-41,9.26453e-73,0.00806836,55.7409,2.50073e-08,55.749,49.1328,49.1328,1.69022
0.83,143.408,29.6142,3.95066e-183,4.45101e-75,5.49103e-43,2.20086e-76,0.00247359,77.7785,9.4564e-08,77.781,65.6266,65.6266,2.21605
0.835,136.213,29.4279,1.8599e-186,7.55404e-77,1.64987e-44,4.29021e-80,0.000721075,105.225,3.4548e-07,105.225,30.9873,30.9873,1.05299
0.84,163.491,29.8664,8.18049e-190,1.2243e-78,4.68536e-46,6.86248e-84,0.000199868,138.022,1.21943e-06,138.022,25.4691,25.4691,0.852767
0.845,166.438,29.9333,3.36154e-193,1.89489e-80,1.25758e-47,9.00742e-88,5.26763e-05,175.531,4.15845e-06,175.531,-9.09283,9.09283,-0.30377
0.85,220.246,30.8707,1.29052e-196,2.80072e-82,3.19027e-49,9.70144e-92,1.32007e-05,216.436,1.37007e-05,216.436,3.81004,3.81004,0.123419
0.855,241.111,31.289,4.62873e-200,3.95315e-84,7.64925e-51,8.57411e-96,3.14551e-06,258.75,4.36105e-05,258.75,-17.6388,17.6388,-0.56374
0.86,267.226,31.8119,1.55106e-203,5.3285e-86,1.73344e-52,6.2181e-100,7.12677e-07,299.918,0.000134115,299.918,-32.6923,32.6923,-1.02767
0.865,260.786,31.8434,4.85582e-207,6.8589e-88,3.71276e-54,3.70036e-104,1.53534e-07,337.053,0.000398476,337.054,-76.268,76.268,-2.3951
0.87,305.984,32.6956,1.42026e-210,8.43125e-90,7.51597e-56,1.80695e-108,3.14505e-08,367.255,0.00114384,367.256,-61.2715,61.2715,-1.874
0.875,369.016,33.8083,3.88097e-214,9.89733e-92,1.43804e-57,7.24045e-113,6.12576e-09,387.98,0.00317223,387.983,-18.9669,18.9669,-0.561013
0.88,373.075,34.0441,9.90792e-218,1.10951e-93,2.60051e-59,2.38068e-117,1.13449e-09,397.396,0.0084997,397.405,-24.3296,24.3296,-0.71465
0.885,451.355,35.3553,2.36317e-221,1.18778e-95,4.4447e-61,6.42323e-122,1.99781e-10,394.649,0.0220029,394.671,56.6844,56.6844,1.60328
0.89,434.052,35.2987,5.26593e-225,1.2143e-97,7.18003e-63,1.42208e-126,3.34516e-11,379.989,0.0550292,380.044,54.0073,54.0073,1.53001
0.895,400.358,35.0143,1.09629e-228,1.18551e-99,1.09625e-64,2.5835e-131,5.32586e-12,354.736,0.132967,354.869,45.4894,45.4894,1.29917
0.9,356.468,34.5832,2.13228e-232,1.10528e-101,1.58194e-66,3.85133e-136,8.06254e-13,321.078,0.310409,321.389,35.0796,35.0796,1.01435
0.905,328.577,34.3802,3.87465e-236,9.84071e-104,2.1576e-68,4.71118e-141,1.16055e-13,281.767,0.700104,282.467,46.1101,46.1101,1.34118
