wavelength,"0","30","60","90"
647.91,0.05892,0.0498,0.03188,0.02661
648.36,0.05867,0.04963,0.03179,0.02649
648.81,0.05842,0.0495,0.03167,0.02639
649.25,0.05818,0.04938,0.03156,0.02628
649.7,0.05794,0.04927,0.03145,0.02619
650.15,0.0577,0.04913,0.03139,0.02614
650.59,0.05745,0.04901,0.03132,0.02607
651.04,0.05719,0.04887,0.03124,0.02603
651.48,0.05691,0.0487,0.03118,0.02598
651.93,0.05662,0.04851,0.03107,0.02593
652.38,0.05632,0.0483,0.03096,0.02588
652.82,0.05599,0.04812,0.0308,0.02584
653.27,0.05566,0.04794,0.03063,0.02575
653.72,0.05535,0.04777,0.03045,0.02566
654.16,0.05506,0.04758,0.03023,0.02553
654.61,0.0548,0.04743,0.03001,0.02541
655.06,0.05459,0.04726,0.02984,0.02537
655.5,0.05442,0.04708,0.02968,0.02526
655.95,0.0543,0.04691,0.02958,0.0252
656.39,0.05422,0.0467,0.02945,0.0251
656.84,0.05415,0.04656,0.02933,0.02505
657.29,0.0541,0.04639,0.02926,0.02504
657.73,0.05404,0.04625,0.02923,0.02502
658.18,0.05398,0.04611,0.02917,0.02501
658.62,0.05391,0.04599,0.02912,0.02499
659.07,0.05382,0.04585,0.02907,0.02497
659.52,0.05371,0.04571,0.02903,0.02496
659.96,0.05359,0.04558,0.02899,0.02492
660.41,0.05347,0.04548,0.02889,0.02487
660.85,0.05333,0.04538,0.02877,0.02478
661.3,0.0532,0.04532,0.02865,0.02468
661.74,0.05306,0.04525,0.02853,0.02456
662.19,0.05292,0.0452,0.02838,0.02447
662.64,0.05277,0.04511,0.02827,0.02438
663.08,0.0526,0.04497,0.02816,0.02428
663.53,0.05242,0.04485,0.0281,0.02421
